City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cape Town,ZA,78.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Kavieng,PG,82.51,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Arraial Do Cabo,BR,85.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Atuona,PF,77.16,clear sky,-9.8,-139.0333,Villa Enata
20,Rikitea,PF,77.38,light rain,-23.1203,-134.9692,People ThankYou
22,Hermanus,ZA,77.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Geraldton,AU,75.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
35,Vaini,TO,82.18,overcast clouds,-21.2,-175.2,Keleti Beach Resort
49,Faanui,PF,81.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
51,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
58,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
70,Puerto Maldonado,PE,81.0,light rain,-12.6,-69.1833,Wasai Hotel
73,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
74,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
78,Richards Bay,ZA,80.89,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
79,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
82,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
84,Porto Velho,BR,80.65,moderate rain,-8.7619,-63.9039,Hotel Central
86,Vicuna,CL,85.77,clear sky,-30.0319,-70.7081,Los Mosaicos
88,Monte Alegre,BR,83.23,broken clouds,-2.0078,-54.0692,Hotel Shekinah
89,Rio Bananal,BR,89.22,few clouds,-19.265,-40.3333,HOTEL SCARTON
96,Bandarbeyla,SO,75.97,broken clouds,9.4942,50.8122,JABIR HOTEL
103,Guider,CM,86.88,clear sky,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
104,Namatanai,PG,79.0,light rain,-3.6667,152.4333,Seagulls Inn Namatani
