,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Burnie,AU,-41.0667,145.9167,61.95,85,9,6.2,clear sky
1,Jamestown,US,42.097,-79.2353,24.12,51,100,8.05,mist
2,Bakel,SN,14.905,-12.4568,95.38,7,82,2.62,broken clouds
3,Cape Town,ZA,-33.9258,18.4232,78.12,46,0,29.93,clear sky
4,Kavieng,PG,-2.5744,150.7967,82.51,76,36,9.15,light rain
5,Russell,US,32.3502,-85.1999,46.96,67,100,0.0,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,49.48,88,67,1.99,broken clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,75,8.05,broken clouds
8,Nome,US,64.5011,-165.4064,-18.33,76,0,0.0,clear sky
9,Cabo San Lucas,MX,22.8909,-109.9124,67.51,66,40,3.44,scattered clouds
10,Bethel,US,41.3712,-73.414,32.58,65,100,1.01,light snow
11,Marzuq,YE,14.4,46.4667,74.64,25,89,7.29,overcast clouds
12,Chokurdakh,RU,70.6333,147.9167,-30.48,94,30,5.95,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,55.06,71,75,4.61,broken clouds
14,Atuona,PF,-9.8,-139.0333,77.16,76,3,14.88,clear sky
15,Barrow,US,71.2906,-156.7887,-18.38,69,0,12.66,clear sky
16,Albany,US,42.6001,-73.9662,30.61,61,100,2.28,overcast clouds
17,Datong,CN,40.0936,113.2914,18.73,50,13,2.04,few clouds
18,Deputatskiy,RU,69.3,139.9,-27.56,91,66,3.8,broken clouds
19,Port Alfred,ZA,-33.5906,26.891,73.11,71,26,21.47,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,77.38,77,100,17.09,light rain
21,Grindavik,IS,63.8424,-22.4338,34.27,64,75,34.52,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,77.9,61,3,13.58,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,62.62,76,0,6.91,clear sky
24,Hilo,US,19.7297,-155.09,69.24,74,0,6.91,clear sky
25,Prince Rupert,CA,54.3161,-130.3201,44.69,76,100,16.11,overcast clouds
26,Geraldton,AU,-28.7667,114.6,75.61,78,16,14.97,few clouds
27,Belyy Yar,RU,53.6039,91.3903,-10.14,64,20,2.24,mist
28,Thompson,CA,55.7435,-97.8558,-23.64,76,20,0.0,few clouds
29,Nioro,GM,13.35,-15.75,93.81,12,50,7.54,scattered clouds
30,Batagay-Alyta,RU,67.8006,130.4114,-23.85,96,24,4.34,few clouds
31,Wenatchee,US,47.4235,-120.3103,29.23,83,100,5.75,overcast clouds
32,Krasnoselkup,RU,65.7,82.4667,3.72,95,100,14.25,overcast clouds
33,Vardo,NO,70.3705,31.1107,29.95,93,100,4.61,light snow
34,Ilulissat,GL,69.2167,-51.1,15.82,48,75,33.38,broken clouds
35,Vaini,TO,-21.2,-175.2,82.18,80,95,20.31,overcast clouds
36,Bluff,NZ,-46.6,168.3333,49.8,79,85,3.85,overcast clouds
37,Aksarayskiy,RU,46.7924,48.0119,26.55,85,79,11.41,broken clouds
38,Pevek,RU,69.7008,170.3133,-19.05,98,100,3.02,overcast clouds
39,Verkhnyaya Inta,RU,65.9811,60.3094,9.88,88,100,11.65,overcast clouds
40,Hobart,AU,-42.8794,147.3294,64.11,83,100,11.5,light intensity drizzle
41,Smidovich,RU,48.6,133.8167,-15.83,98,94,5.44,overcast clouds
42,Kapaa,US,22.0752,-159.319,64.38,100,0,5.75,clear sky
